128,13
124,13
122,12
125,12
124,9
124,9
125,13
127,11
124,11
123,13
124,9
125,11
125,11
124,11
126,13
124,9
123,10
124,11
124,10
125,15
0,28
,
2,61
3,63
4,119
5,317
6,571
7,689
8,697
9,803
10,1026
11,1199
12,1256
13,1260
14,1263
15,1268
16,1266
17,1252
18,1241
19,1240
20,1183
21,985
22,731
23,613
24,605
25,498
26,275
27,102
28,45
29,41
30,36
31,25
32,13
33,5
34,2
35,1
36,1
37,2
38,2
39,3
40,3
41,3
42,4
43,4
44,4
45,4
46,4
47,3
48,3
49,3
50,3
51,3
52,3
53,2
54,2
55,2
56,2
57,2
58,3
59,3
60,3
61,3
62,3
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,3
72,3
73,2
74,1
75,1
76,1
77,1
78,1
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,1
102,2
103,3
104,5
105,6
106,6
107,6
108,6
109,7
110,9
111,10
112,11
113,12
114,12
115,12
116,12
117,11
118,11
119,9
120,8
121,7
122,7
123,10
0,16
,
2,48
3,60
4,62
5,119
6,318
7,571
8,687
9,695
10,801
11,1023
12,1194
13,1252
14,1256
15,1258
16,1264
17,1262
18,1250
19,1239
20,1237
21,1180
22,981
23,728
24,611
25,603
26,497
27,275
28,103
29,45
30,41
31,37
32,25
33,13
34,5
35,2
36,1
37,1
38,1
39,2
40,2
41,3
42,3
43,4
44,4
45,4
46,4
47,4
48,4
49,3
50,3
51,3
52,3
53,3
54,3
55,2
56,2
57,2
58,2
59,2
60,3
61,3
62,3
63,3
64,3
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,3
74,3
75,2
76,1
77,1
78,1
79,1
80,1
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,1
104,2
105,3
106,4
107,5
108,5
109,5
110,6
111,6
112,8
113,9
114,10
115,10
116,10
117,10
118,10
119,10
120,9
121,8
122,7
123,6
124,6
125,8
126,14
0,27
,
2,60
3,62
4,118
5,315
6,567
7,684
8,693
9,799
10,1021
11,1192
12,1249
13,1253
